technology,dbm,rssnr,rsrp,rsrq,rssi,cqi,asu,earfcn,pci,ta,ci,tac,level,bandwidth,bands,modes,bands_description,mcc,mnc,is_connected,phone_abs_time,rel_time,time_readable,longitude,latitude,altitude,geo_id_cg_api,state_abrv,census_tract_geoid,census_tract_arealand,census_block_geoid,census_block_arealand,county_geoid,county_name,population_density,rucc,physiographic_region_area,physiographic_region_perimeter,physiographic_region_physiodd_,physiographic_region_physiodd_i,physiographic_region_fcode,physiographic_region_fencode,physiographic_region_division,physiographic_region_province,physiographic_region_section,physiographic_region_provcode,elevation,distance_to_next_point_meters
4G_LTE,-106,2147483647,-106,-11,-71,2147483647,34,900,264,9,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,1,1724700772843,25766.912704598,2024-08-26 15:32:52.843000,-80.32991141472868,36.06937197881137,190.48817289160348,370670038052004.0,NC,37067003805.0,7243291.0,370670038052004.0,167854.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,239.0483703613281,0.0
4G_LTE,-108,2147483647,-108,-13,-79,2147483647,32,67086,316,9,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724700772843,25766.912704598,2024-08-26 15:32:52.843000,-80.32991141472868,36.06937197881137,190.48817289160348,370670038052004.0,NC,37067003805.0,7243291.0,370670038052004.0,167854.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,239.0483703613281,0.0
4G_LTE,-103,2147483647,-103,-18,-73,2147483647,37,5330,316,9,2147483647,2147483647,2,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724700772843,25766.912704598,2024-08-26 15:32:52.843000,-80.32991141472868,36.06937197881137,190.48817289160348,370670038052004.0,NC,37067003805.0,7243291.0,370670038052004.0,167854.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,239.0483703613281,0.0
4G_LTE,-101,2147483647,-101,-13,-67,2147483647,39,67086,264,9,199259841,9871,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1724700772843,25766.912704598,2024-08-26 15:32:52.843000,-80.32991141472868,36.06937197881137,190.48817289160348,370670038052004.0,NC,37067003805.0,7243291.0,370670038052004.0,167854.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,239.0483703613281,0.0
4G_LTE,-111,2147483647,-111,-16,-85,2147483647,29,900,316,9,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724700772843,25766.912704598,2024-08-26 15:32:52.843000,-80.32991141472868,36.06937197881137,190.48817289160348,370670038052004.0,NC,37067003805.0,7243291.0,370670038052004.0,167854.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,239.0483703613281,98.02078923643371
4G_LTE,-111,2147483647,-111,-20,-85,2147483647,29,9820,231,9,2147483647,2147483647,1,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1724700773847,25767.916962879,2024-08-26 15:32:53.847000,-80.3290023,36.0698589,188.606674553618,370670038051015.0,NC,37067003805.0,7243291.0,370670038051015.0,16043.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,241.1604614257812,0.0
4G_LTE,-109,2147483647,-109,-17,-85,2147483647,31,9820,316,9,2147483647,2147483647,1,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1724700773847,25767.916962879,2024-08-26 15:32:53.847000,-80.3290023,36.0698589,188.606674553618,370670038051015.0,NC,37067003805.0,7243291.0,370670038051015.0,16043.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,241.1604614257812,0.0
4G_LTE,-110,2147483647,-110,-16,-85,2147483647,30,9820,264,9,2147483647,2147483647,1,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,1,1724700773847,25767.916962879,2024-08-26 15:32:53.847000,-80.3290023,36.0698589,188.606674553618,370670038051015.0,NC,37067003805.0,7243291.0,370670038051015.0,16043.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,241.1604614257812,0.0
4G_LTE,-103,2147483647,-103,-19,-75,2147483647,37,5330,20,9,2147483647,2147483647,2,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724700773847,25767.916962879,2024-08-26 15:32:53.847000,-80.3290023,36.0698589,188.606674553618,370670038051015.0,NC,37067003805.0,7243291.0,370670038051015.0,16043.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,241.1604614257812,0.0
4G_LTE,-107,2147483647,-107,-20,-75,2147483647,33,5330,14,9,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724700773847,25767.916962879,2024-08-26 15:32:53.847000,-80.3290023,36.0698589,188.606674553618,370670038051015.0,NC,37067003805.0,7243291.0,370670038051015.0,16043.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,241.1604614257812,0.0
4G_LTE,-101,2147483647,-101,-16,-73,2147483647,39,5330,256,9,2147483647,2147483647,2,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724700773847,25767.916962879,2024-08-26 15:32:53.847000,-80.3290023,36.0698589,188.606674553618,370670038051015.0,NC,37067003805.0,7243291.0,370670038051015.0,16043.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,241.1604614257812,0.0
4G_LTE,-110,2147483647,-110,-16,-85,2147483647,30,67086,316,9,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724700773847,25767.916962879,2024-08-26 15:32:53.847000,-80.3290023,36.0698589,188.606674553618,370670038051015.0,NC,37067003805.0,7243291.0,370670038051015.0,16043.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,241.1604614257812,0.0
4G_LTE,-108,2147483647,-108,-17,-81,2147483647,32,900,311,9,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724700773847,25767.916962879,2024-08-26 15:32:53.847000,-80.3290023,36.0698589,188.606674553618,370670038051015.0,NC,37067003805.0,7243291.0,370670038051015.0,16043.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,241.1604614257812,0.0
4G_LTE,-113,2147483647,-113,-19,-85,2147483647,27,900,231,9,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724700773847,25767.916962879,2024-08-26 15:32:53.847000,-80.3290023,36.0698589,188.606674553618,370670038051015.0,NC,37067003805.0,7243291.0,370670038051015.0,16043.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,241.1604614257812,0.0
4G_LTE,-113,2147483647,-113,-19,-85,2147483647,27,900,256,9,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724700773847,25767.916962879,2024-08-26 15:32:53.847000,-80.3290023,36.0698589,188.606674553618,370670038051015.0,NC,37067003805.0,7243291.0,370670038051015.0,16043.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,241.1604614257812,0.0
4G_LTE,-108,2147483647,-108,-13,-85,2147483647,32,900,264,9,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,1,1724700773847,25767.916962879,2024-08-26 15:32:53.847000,-80.3290023,36.0698589,188.606674553618,370670038051015.0,NC,37067003805.0,7243291.0,370670038051015.0,16043.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,241.1604614257812,0.0
4G_LTE,-110,2147483647,-110,-16,-85,2147483647,30,900,316,9,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724700773847,25767.916962879,2024-08-26 15:32:53.847000,-80.3290023,36.0698589,188.606674553618,370670038051015.0,NC,37067003805.0,7243291.0,370670038051015.0,16043.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,241.1604614257812,0.0
4G_LTE,-112,2147483647,-112,-19,-83,2147483647,28,67086,256,9,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724700773847,25767.916962879,2024-08-26 15:32:53.847000,-80.3290023,36.0698589,188.606674553618,370670038051015.0,NC,37067003805.0,7243291.0,370670038051015.0,16043.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,241.1604614257812,0.0
4G_LTE,-105,2147483647,-105,-13,-75,2147483647,35,67086,264,9,199259841,9871,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1724700773847,25767.916962879,2024-08-26 15:32:53.847000,-80.3290023,36.0698589,188.606674553618,370670038051015.0,NC,37067003805.0,7243291.0,370670038051015.0,16043.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,241.1604614257812,0.0
4G_LTE,-97,2147483647,-97,-14,-71,2147483647,43,5330,264,9,2147483647,2147483647,2,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,1,1724700773847,25767.916962879,2024-08-26 15:32:53.847000,-80.3290023,36.0698589,188.606674553618,370670038051015.0,NC,37067003805.0,7243291.0,370670038051015.0,16043.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,241.1604614257812,12.457918724158896
4G_LTE,-109,2147483647,-109,-17,-85,2147483647,31,9820,316,9,2147483647,2147483647,1,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1724700774849,25768.918103607,2024-08-26 15:32:54.849000,-80.3288703613594,36.06989323477978,189.02558142685,370670038051015.0,NC,37067003805.0,7243291.0,370670038051015.0,16043.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,241.3559722900391,12.457918724158896
4G_LTE,-110,2147483647,-110,-16,-85,2147483647,30,9820,264,9,2147483647,2147483647,1,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,1,1724700774849,25768.918103607,2024-08-26 15:32:54.849000,-80.3290023,36.0698589,188.606674553618,370670038051015.0,NC,37067003805.0,7243291.0,370670038051015.0,16043.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,241.1604614257812,0.0
4G_LTE,-103,2147483647,-103,-19,-75,2147483647,37,5330,20,9,2147483647,2147483647,2,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724700774849,25768.918103607,2024-08-26 15:32:54.849000,-80.3290023,36.0698589,188.606674553618,370670038051015.0,NC,37067003805.0,7243291.0,370670038051015.0,16043.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,241.1604614257812,0.0
4G_LTE,-107,2147483647,-107,-20,-75,2147483647,33,5330,14,9,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724700774849,25768.918103607,2024-08-26 15:32:54.849000,-80.3290023,36.0698589,188.606674553618,370670038051015.0,NC,37067003805.0,7243291.0,370670038051015.0,16043.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,241.1604614257812,0.0
4G_LTE,-101,2147483647,-101,-16,-73,2147483647,39,5330,256,9,2147483647,2147483647,2,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724700774849,25768.918103607,2024-08-26 15:32:54.849000,-80.3290023,36.0698589,188.606674553618,370670038051015.0,NC,37067003805.0,7243291.0,370670038051015.0,16043.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,241.1604614257812,0.0
4G_LTE,-97,2147483647,-97,-14,-71,2147483647,43,5330,264,9,2147483647,2147483647,2,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,1,1724700774849,25768.918103607,2024-08-26 15:32:54.849000,-80.3290023,36.0698589,188.606674553618,370670038051015.0,NC,37067003805.0,7243291.0,370670038051015.0,16043.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,241.1604614257812,0.0
4G_LTE,-111,2147483647,-111,-20,-85,2147483647,29,9820,231,9,2147483647,2147483647,1,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1724700774849,25768.918103607,2024-08-26 15:32:54.849000,-80.3290023,36.0698589,188.606674553618,370670038051015.0,NC,37067003805.0,7243291.0,370670038051015.0,16043.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,241.1604614257812,0.0
4G_LTE,-113,2147483647,-113,-19,-85,2147483647,27,900,231,9,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724700774849,25768.918103607,2024-08-26 15:32:54.849000,-80.3290023,36.0698589,188.606674553618,370670038051015.0,NC,37067003805.0,7243291.0,370670038051015.0,16043.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,241.1604614257812,0.0
4G_LTE,-113,2147483647,-113,-19,-85,2147483647,27,900,256,9,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724700774849,25768.918103607,2024-08-26 15:32:54.849000,-80.3290023,36.0698589,188.606674553618,370670038051015.0,NC,37067003805.0,7243291.0,370670038051015.0,16043.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,241.1604614257812,0.0
4G_LTE,-108,2147483647,-108,-13,-85,2147483647,32,900,264,9,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,1,1724700774849,25768.918103607,2024-08-26 15:32:54.849000,-80.3290023,36.0698589,188.606674553618,370670038051015.0,NC,37067003805.0,7243291.0,370670038051015.0,16043.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,241.1604614257812,0.0
4G_LTE,-110,2147483647,-110,-16,-85,2147483647,30,900,316,9,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724700774849,25768.918103607,2024-08-26 15:32:54.849000,-80.3290023,36.0698589,188.606674553618,370670038051015.0,NC,37067003805.0,7243291.0,370670038051015.0,16043.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,241.1604614257812,0.0
4G_LTE,-112,2147483647,-112,-19,-83,2147483647,28,67086,256,9,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724700774849,25768.918103607,2024-08-26 15:32:54.849000,-80.3290023,36.0698589,188.606674553618,370670038051015.0,NC,37067003805.0,7243291.0,370670038051015.0,16043.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,241.1604614257812,0.0
4G_LTE,-110,2147483647,-110,-16,-85,2147483647,30,67086,316,9,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724700774849,25768.918103607,2024-08-26 15:32:54.849000,-80.3290023,36.0698589,188.606674553618,370670038051015.0,NC,37067003805.0,7243291.0,370670038051015.0,16043.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,241.1604614257812,0.0
4G_LTE,-105,2147483647,-105,-13,-75,2147483647,35,67086,264,9,199259841,9871,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1724700774849,25768.918103607,2024-08-26 15:32:54.849000,-80.3290023,36.0698589,188.606674553618,370670038051015.0,NC,37067003805.0,7243291.0,370670038051015.0,16043.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,241.1604614257812,0.0
4G_LTE,-108,2147483647,-108,-17,-81,2147483647,32,900,311,9,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724700774849,25768.918103607,2024-08-26 15:32:54.849000,-80.3290023,36.0698589,188.606674553618,370670038051015.0,NC,37067003805.0,7243291.0,370670038051015.0,16043.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,241.1604614257812,13.814043200983619
4G_LTE,-114,2147483647,-114,-17,-87,2147483647,26,9820,316,9,2147483647,2147483647,1,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1724700775849,25769.918474649,2024-08-26 15:32:55.849000,-80.32885599898772,36.06989697234193,189.07118214086057,370670038051015.0,NC,37067003805.0,7243291.0,370670038051015.0,16043.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,241.3529205322266,13.814043200983619
4G_LTE,-109,2147483647,-109,-13,-87,2147483647,31,9820,264,9,2147483647,2147483647,1,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,1,1724700775849,25769.918474649,2024-08-26 15:32:55.849000,-80.3290023,36.0698589,188.606674553618,370670038051015.0,NC,37067003805.0,7243291.0,370670038051015.0,16043.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,241.1604614257812,0.0
4G_LTE,-108,2147483647,-108,-20,-75,2147483647,32,5330,231,9,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724700775849,25769.918474649,2024-08-26 15:32:55.849000,-80.3290023,36.0698589,188.606674553618,370670038051015.0,NC,37067003805.0,7243291.0,370670038051015.0,16043.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,241.1604614257812,0.0
4G_LTE,-103,2147483647,-103,-19,-75,2147483647,37,5330,20,9,2147483647,2147483647,2,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724700775849,25769.918474649,2024-08-26 15:32:55.849000,-80.3290023,36.0698589,188.606674553618,370670038051015.0,NC,37067003805.0,7243291.0,370670038051015.0,16043.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,241.1604614257812,0.0
4G_LTE,-107,2147483647,-107,-18,-79,2147483647,33,5330,14,9,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724700775849,25769.918474649,2024-08-26 15:32:55.849000,-80.3290023,36.0698589,188.606674553618,370670038051015.0,NC,37067003805.0,7243291.0,370670038051015.0,16043.0,37067.0,Forsyth County,2246.26,1.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,241.1604614257812,0.0
